Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
TCGA-UCEC	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS,Not Reported	Corpus uteri,Uterus, NOS	334 / 512 (65.23 %)	22 / 544 (4.04 %)	50 / 544 (9.19 %)	336
TCGA-GBM	Gliomas,Not Reported	Brain	117 / 374 (31.28 %)	1 / 589 (0.17 %)	199 / 589 (33.79 %)	98
CPTAC-3	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Lipomatous Neoplasms,Nevi and Melanomas,Not Applicable,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Brain,Breast,Bronchus and lung,Colon,Kidney,Other and ill-defined sites,Other and unspecified urinary organs,Pancreas,Unknown,Uterus, NOS	286 / 1317 (21.72 %)	79 / 1290 (6.12 %)	274 / 1290 (21.24 %)	256
TCGA-UCS	Complex Mixed and Stromal Neoplasms	Uterus, NOS	11 / 57 (19.30 %)	7 / 56 (12.50 %)	12 / 56 (21.43 %)	17
HCMI-CMDC	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Blood Vessel Tumors,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibromatous Neoplasms,Gliomas,Miscellaneous Bone Tumors,Myomatous Neoplasms,Nevi and Melanomas,Osseous and Chondromatous Neoplasms,Soft Tissue Tumors and Sarcomas, NOS,Squamous Cell Neoplasms	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Esophagus,Gallbladder,Kidney,Liver and intrahepatic bile ducts,Nasal cavity and middle ear,Other and ill-defined sites,Other and unspecified parts of biliary tract,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Ovary,Pancreas,Rectosigmoid junction,Rectum,Skin,Small intestine,Stomach,Uterus, NOS	32 / 274 (11.68 %)	18 / 268 (6.72 %)	81 / 268 (30.22 %)	32
TCGA-LUSC	Squamous Cell Neoplasms	Bronchus and lung	55 / 490 (11.22 %)	19 / 504 (3.77 %)	105 / 504 (20.83 %)	50
TCGA-SKCM	Nevi and Melanomas	Skin	44 / 470 (9.36 %)	5 / 470 (1.06 %)	114 / 470 (24.26 %)	41
TCGA-KICH	Adenomas and Adenocarcinomas	Kidney	6 / 66 (9.09 %)	0 / 80 (0.00 %)	14 / 80 (17.50 %)	6
CMI-MPC	Adenomas and Adenocarcinomas	Lymph nodes,Prostate gland	5 / 60 (8.33 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	5
TCGA-STAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Stomach	35 / 434 (8.06 %)	27 / 442 (6.11 %)	72 / 442 (16.29 %)	30
TCGA-CESC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Cervix uteri	21 / 287 (7.32 %)	7 / 302 (2.32 %)	36 / 302 (11.92 %)	29
CGCI-HTMCP-CC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms	Cervix uteri	6 / 85 (7.06 %)	10 / 122 (8.20 %)	31 / 122 (25.41 %)	7
TCGA-COAD	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS	Colon,Rectosigmoid junction	30 / 428 (7.01 %)	5 / 459 (1.09 %)	55 / 459 (11.98 %)	32
CMI-MBC	Ductal and Lobular Neoplasms	Breast	12 / 174 (6.90 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	13
CPTAC-2	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Not Reported,Squamous Cell Neoplasms	Breast,Colon,Other and unspecified female genital organs,Ovary,Rectum,Retroperitoneum and peritoneum	20 / 328 (6.10 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	25
CDDP_EAGLE-1	Adenomas and Adenocarcinomas	Bronchus and lung	3 / 50 (6.00 %)	7 / 44 (15.91 %)	4 / 44 (9.09 %)	3
TCGA-BRCA	Adenomas and Adenocarcinomas,Adnexal and Skin Appendage Neoplasms,Basal Cell Neoplasms,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibroepithelial Neoplasms,Squamous Cell Neoplasms	Breast	52 / 969 (5.37 %)	38 / 1094 (3.47 %)	166 / 1094 (15.17 %)	50
EXCEPTIONAL_RESPONDERS-ER	Adenomas and Adenocarcinomas,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Myomatous Neoplasms,Neoplasms, NOS,Nevi and Melanomas,Squamous Cell Neoplasms	Anus and anal canal,Bladder,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Esophagus,Kidney,Other and ill-defined digestive organs,Other and ill-defined sites,Other and unspecified female genital organs,Other and unspecified parts of biliary tract,Ovary,Pancreas,Rectum,Skin,Stomach,Unknown,Uterus, NOS	1 / 19 (5.26 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	1
TCGA-READ	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Colon,Connective, subcutaneous and other soft tissues,Rectosigmoid junction,Rectum,Unknown	8 / 155 (5.16 %)	1 / 167 (0.60 %)	26 / 167 (15.57 %)	9
TCGA-LGG	Gliomas	Brain	25 / 513 (4.87 %)	1 / 515 (0.19 %)	52 / 515 (10.10 %)	23
TCGA-DLBC	Mature B-Cell Lymphomas,Not Reported	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Colon,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Hematopoietic and reticuloendothelial systems,Lymph nodes,Other and unspecified major salivary glands,Retroperitoneum and peritoneum,Small intestine,Stomach,Testis,Thyroid gland	2 / 47 (4.26 %)	2 / 48 (4.17 %)	6 / 48 (12.50 %)	2
TCGA-BLCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Bladder	16 / 408 (3.92 %)	10 / 411 (2.43 %)	92 / 411 (22.38 %)	16
TARGET-ALL-P2	Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	28 / 717 (3.91 %)	19 / 293 (6.48 %)	15 / 293 (5.12 %)	37
TCGA-KIRC	Adenomas and Adenocarcinomas	Kidney	13 / 374 (3.48 %)	2 / 532 (0.38 %)	22 / 532 (4.14 %)	14
TCGA-PRAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms	Prostate gland	16 / 496 (3.23 %)	3 / 494 (0.61 %)	124 / 494 (25.10 %)	16
TARGET-OS	Osseous and Chondromatous Neoplasms	Bones, joints and articular cartilage of limbs,Bones, joints and articular cartilage of other and unspecified sites,Not Reported	3 / 97 (3.09 %)	9 / 81 (11.11 %)	38 / 81 (46.91 %)	3
TCGA-SARC	Fibromatous Neoplasms,Lipomatous Neoplasms,Myomatous Neoplasms,Nerve Sheath Tumors,Soft Tissue Tumors and Sarcomas, NOS,Synovial-like Neoplasms	Bones, joints and articular cartilage of limbs,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Kidney,Meninges,Other and unspecified male genital organs,Other and unspecified parts of tongue,Ovary,Peripheral nerves and autonomic nervous system,Retroperitoneum and peritoneum,Stomach,Uterus, NOS	7 / 235 (2.98 %)	4 / 257 (1.56 %)	61 / 257 (23.74 %)	8
TCGA-ESCA	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Esophagus,Stomach	5 / 184 (2.72 %)	17 / 185 (9.19 %)	36 / 185 (19.46 %)	6
TCGA-LIHC	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts	10 / 369 (2.71 %)	12 / 374 (3.21 %)	57 / 374 (15.24 %)	10
TCGA-HNSC	Squamous Cell Neoplasms	Base of tongue,Bones, joints and articular cartilage of other and unspecified sites,Floor of mouth,Gum,Hypopharynx,Larynx,Lip,Oropharynx,Other and ill-defined sites in lip, oral cavity and pharynx,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Palate,Tonsil	13 / 509 (2.55 %)	9 / 525 (1.71 %)	54 / 525 (10.29 %)	13
TCGA-KIRP	Adenomas and Adenocarcinomas	Kidney	7 / 278 (2.52 %)	2 / 291 (0.69 %)	10 / 291 (3.44 %)	7
MMRF-COMMPASS	Plasma Cell Tumors	Hematopoietic and reticuloendothelial systems	24 / 959 (2.50 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	23
TCGA-CHOL	Adenomas and Adenocarcinomas	Gallbladder,Liver and intrahepatic bile ducts,Other and unspecified parts of biliary tract	1 / 51 (1.96 %)	1 / 49 (2.04 %)	7 / 49 (14.29 %)	1
TCGA-LUAD	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Bronchus and lung	10 / 559 (1.79 %)	26 / 518 (5.02 %)	59 / 518 (11.39 %)	11
TARGET-ALL-P3	Leukemias, NOS,Lymphoid Leukemias,Myeloid Leukemias,Not Applicable	Hematopoietic and reticuloendothelial systems,Unknown	1 / 56 (1.79 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	1
TCGA-MESO	Mesothelial Neoplasms	Bronchus and lung,Heart, mediastinum, and pleura	1 / 80 (1.25 %)	3 / 87 (3.45 %)	18 / 87 (20.69 %)	1
TCGA-OV	Cystic, Mucinous and Serous Neoplasms,Not Reported	Ovary	5 / 419 (1.19 %)	33 / 578 (5.71 %)	129 / 578 (22.32 %)	5
TCGA-THCA	Adenomas and Adenocarcinomas,Epithelial Neoplasms, NOS	Thyroid gland	2 / 490 (0.41 %)	1 / 504 (0.20 %)	6 / 504 (1.19 %)	3
MP2PRT-ALL	Acute Lymphoblastic Leukemia,Lymphoid Leukemias	Hematopoietic and reticuloendothelial systems	1 / 1487 (0.07 %)	342 / 1493 (22.91 %)	5 / 1493 (0.33 %)	1